id,industrie_pct_area,4sq_total_venues,total_units,div_i,checkins_all,Div,CheckinsAll,TotalUnits
BU03630000,3.180117096,95,4238,0.5702,2750,0.5702,2750,4238
BU03630001,1.002782339,116,4836,0.6314,6620,0.6314,6620,4836
BU03630002,2.649969021,68,5923,0.5228,2521,0.5228,2521,5923
BU03630003,1.572428872,81,3639,0.5196,3468,0.5196,3468,3639
BU03630004,4.066521161,41,7162,0.5394,2076,0.5394,2076,7162
BU03630005,4.313126662,10,6458,0.5476,1434,0.5476,1434,6458
BU03630006,5.490077044,61,14763,0.5072,2385,0.5072,2385,14763
BU03630007,2.981364821,101,5734,0.535,4209,0.535,4209,5734
BU03630008,2.997397577,34,4764,0.5426,1211,0.5426,1211,4764
BU03630009,4.857063959,10,8454,0.6252,988,0.6252,988,8454
BU03630110,70.98325139,1,1059,0.5226,554,0.5226,554,1059
BU03630111,44.3852599,10,1543,0.6806,2019,0.6806,2019,1543
BU03630212,15.21149159,1,1248,0.6562,241,0.6562,241,1248
BU03630213,4.562641546,9,6709,0.678,1228,0.678,1228,6709
BU03630214,2.83221145,13,8247,0.6354,1330,0.6354,1330,8247
BU03630215,15.52915073,5,1358,0.61,424,0.61,424,1358
BU03630216,2.587264283,5,5321,0.5912,222,0.5912,222,5321
BU03630317,1.208090255,1,2915,0.5278,315,0.5278,315,2915
BU03630318,6.372418319,2,3836,0.625,134,0.625,134,3836
BU03630319,2.465603658,5,4853,0.6754,672,0.6754,672,4853
BU03630320,4.048981705,12,5155,0.524,289,0.524,289,5155
BU03630321,1.934144984,12,4760,0.524,498,0.524,498,4760
BU03630322,5.78668773,16,1094,0.5278,539,0.5278,539,1094
BU03630431,0.92813791,8,7191,0.7884,420,0.7884,420,7191
BU03630432,1.301473626,0,5308,0.8004,218,0.8004,218,5308
BU03630433,11.26307359,24,9575,0.5776,2157,0.5776,2157,9575
BU03630434,32.69087395,2,466,0.3618,144,0.3618,144,466
BU03630435,0.711329239,1,5810,0.6748,739,0.6748,739,5810
BU03630451,0.031702174,2,2844,0.7276,208,0.7276,208,2844
BU03630536,4.996315919,0,70,0.4374,55,0.4374,55,70
BU03630537,2.10769709,8,9895,0.7688,660,0.7688,660,9895
BU03630538,0.448772227,6,3201,0.6932,201,0.6932,201,3201
